title,text,label
Government announces new healthcare policy,The government has rolled out a new healthcare policy aimed at reducing costs.,1
NASA discovers water on Mars,NASA's latest mission reveals signs of water on the surface of Mars.,1
You won't believe what this celebrity did!,Shocking celebrity gossip that took the internet by storm!,0
Miracle cure for cancer found in kitchen,"A home remedy claims to cure cancer instantly, with no scientific proof.",0
"Elections rigged, claims anonymous source",An anonymous source claims the recent elections were rigged.,0
Local man wins lottery twice in a week,A man from a small town won the lottery twice in the same week.,1
Experts confirm climate change is accelerating,Climate scientists warn that global temperatures are rising faster than expected.,1
New species of bird discovered in Amazon,A team of biologists discovered a new bird species deep in the Amazon rainforest.,1
"Aliens built the pyramids, new study suggests",A controversial study claims aliens built the pyramids thousands of years ago.,0
Flat Earth theory proven by scientists,Scientists from an unknown lab claim the Earth is actually flat.,0
